
Parameter				Value
Filter Type:			RC-low-pass Filter
Input Voltage(Vin)		1.0000 V
Output Voltage(Vout)	0.0665 V
Resistance(R)			20.0000 Ω
Capacitance(C)			1.000000000000 F
Frequency(f)			0.1195 Hz
Cutoff Frequency(fc)	0.0080 Hz
Gain(dB)				-23.5410 dB
Phase Shift(°)			-86.1859 °

|     Freq(Hz) |      Vout(V) |     Gain(dB) |    Phase(°) |
|       0.0675 |       0.1171 |     -18.6279 |     -83.2745 |
|       0.0676 |       0.1168 |     -18.6481 |     -83.2902 |
|       0.0678 |       0.1166 |     -18.6682 |     -83.3058 |
|       0.0680 |       0.1163 |     -18.6883 |     -83.3213 |
|       0.0681 |       0.1160 |     -18.7084 |     -83.3368 |
|       0.0683 |       0.1158 |     -18.7284 |     -83.3522 |
|       0.0684 |       0.1155 |     -18.7483 |     -83.3675 |
|       0.0686 |       0.1152 |     -18.7682 |     -83.3827 |
|       0.0688 |       0.1150 |     -18.7881 |     -83.3979 |
|       0.0689 |       0.1147 |     -18.8079 |     -83.4130 |
|       0.0691 |       0.1145 |     -18.8277 |     -83.4281 |
|       0.0692 |       0.1142 |     -18.8474 |     -83.4431 |
|       0.0694 |       0.1139 |     -18.8671 |     -83.4580 |
|       0.0696 |       0.1137 |     -18.8867 |     -83.4728 |
|       0.0697 |       0.1134 |     -18.9063 |     -83.4876 |
|       0.0699 |       0.1132 |     -18.9259 |     -83.5023 |
|       0.0700 |       0.1129 |     -18.9454 |     -83.5169 |
|       0.0702 |       0.1127 |     -18.9648 |     -83.5315 |
|       0.0703 |       0.1124 |     -18.9843 |     -83.5460 |
|       0.0705 |       0.1122 |     -19.0037 |     -83.5605 |
|       0.0707 |       0.1119 |     -19.0230 |     -83.5748 |
|       0.0708 |       0.1117 |     -19.0423 |     -83.5892 |
|       0.0710 |       0.1114 |     -19.0615 |     -83.6034 |
|       0.0711 |       0.1112 |     -19.0808 |     -83.6176 |
|       0.0713 |       0.1109 |     -19.0999 |     -83.6317 |
|       0.0715 |       0.1107 |     -19.1191 |     -83.6458 |
|       0.0716 |       0.1104 |     -19.1381 |     -83.6598 |
|       0.0718 |       0.1102 |     -19.1572 |     -83.6738 |
|       0.0719 |       0.1099 |     -19.1762 |     -83.6876 |
|       0.0721 |       0.1097 |     -19.1952 |     -83.7015 |
|       0.0723 |       0.1095 |     -19.2141 |     -83.7152 |
|       0.0724 |       0.1092 |     -19.2330 |     -83.7289 |
|       0.0726 |       0.1090 |     -19.2518 |     -83.7426 |
|       0.0727 |       0.1088 |     -19.2706 |     -83.7561 |
|       0.0729 |       0.1085 |     -19.2894 |     -83.7697 |
|       0.0731 |       0.1083 |     -19.3081 |     -83.7831 |
|       0.0732 |       0.1081 |     -19.3268 |     -83.7965 |
|       0.0734 |       0.1078 |     -19.3454 |     -83.8099 |
|       0.0735 |       0.1076 |     -19.3640 |     -83.8232 |
|       0.0737 |       0.1074 |     -19.3826 |     -83.8364 |
|       0.0738 |       0.1071 |     -19.4011 |     -83.8496 |
|       0.0740 |       0.1069 |     -19.4196 |     -83.8627 |
|       0.0742 |       0.1067 |     -19.4380 |     -83.8758 |
|       0.0743 |       0.1065 |     -19.4564 |     -83.8888 |
|       0.0745 |       0.1062 |     -19.4748 |     -83.9018 |
|       0.0746 |       0.1060 |     -19.4931 |     -83.9147 |
|       0.0748 |       0.1058 |     -19.5114 |     -83.9275 |
|       0.0750 |       0.1056 |     -19.5297 |     -83.9403 |
|       0.0751 |       0.1053 |     -19.5479 |     -83.9531 |
|       0.0753 |       0.1051 |     -19.5661 |     -83.9658 |
|       0.0754 |       0.1049 |     -19.5842 |     -83.9784 |
|       0.0756 |       0.1047 |     -19.6023 |     -83.9910 |
|       0.0758 |       0.1045 |     -19.6204 |     -84.0035 |
|       0.0759 |       0.1043 |     -19.6384 |     -84.0160 |
|       0.0761 |       0.1040 |     -19.6564 |     -84.0284 |
|       0.0762 |       0.1038 |     -19.6744 |     -84.0408 |
|       0.0764 |       0.1036 |     -19.6923 |     -84.0531 |
|       0.0766 |       0.1034 |     -19.7102 |     -84.0654 |
|       0.0767 |       0.1032 |     -19.7280 |     -84.0776 |
|       0.0769 |       0.1030 |     -19.7458 |     -84.0898 |
|       0.0770 |       0.1028 |     -19.7636 |     -84.1019 |
|       0.0772 |       0.1025 |     -19.7813 |     -84.1140 |
|       0.0773 |       0.1023 |     -19.7990 |     -84.1260 |
|       0.0775 |       0.1021 |     -19.8167 |     -84.1380 |
|       0.0777 |       0.1019 |     -19.8343 |     -84.1499 |
|       0.0778 |       0.1017 |     -19.8519 |     -84.1618 |
|       0.0780 |       0.1015 |     -19.8695 |     -84.1736 |
|       0.0781 |       0.1013 |     -19.8870 |     -84.1854 |
|       0.0783 |       0.1011 |     -19.9045 |     -84.1972 |
|       0.0785 |       0.1009 |     -19.9220 |     -84.2089 |
|       0.0786 |       0.1007 |     -19.9394 |     -84.2205 |
|       0.0788 |       0.1005 |     -19.9568 |     -84.2321 |
|       0.0789 |       0.1003 |     -19.9741 |     -84.2437 |
|       0.0791 |       0.1001 |     -19.9914 |     -84.2552 |
|       0.0793 |       0.0999 |     -20.0087 |     -84.2666 |
|       0.0794 |       0.0997 |     -20.0260 |     -84.2780 |
|       0.0796 |       0.0995 |     -20.0432 |     -84.2894 |
|       0.0797 |       0.0993 |     -20.0604 |     -84.3007 |
|       0.0799 |       0.0991 |     -20.0775 |     -84.3120 |
|       0.0801 |       0.0989 |     -20.0946 |     -84.3232 |
|       0.0802 |       0.0987 |     -20.1117 |     -84.3344 |
|       0.0804 |       0.0985 |     -20.1288 |     -84.3456 |
|       0.0805 |       0.0983 |     -20.1458 |     -84.3567 |
|       0.0807 |       0.0981 |     -20.1628 |     -84.3677 |
|       0.0809 |       0.0980 |     -20.1797 |     -84.3787 |
|       0.0810 |       0.0978 |     -20.1966 |     -84.3897 |
|       0.0812 |       0.0976 |     -20.2135 |     -84.4007 |
|       0.0813 |       0.0974 |     -20.2304 |     -84.4115 |
|       0.0815 |       0.0972 |     -20.2472 |     -84.4224 |
|       0.0816 |       0.0970 |     -20.2640 |     -84.4332 |
|       0.0818 |       0.0968 |     -20.2807 |     -84.4439 |
|       0.0820 |       0.0966 |     -20.2975 |     -84.4547 |
|       0.0821 |       0.0964 |     -20.3142 |     -84.4653 |
|       0.0823 |       0.0963 |     -20.3308 |     -84.4760 |
|       0.0824 |       0.0961 |     -20.3474 |     -84.4866 |
|       0.0826 |       0.0959 |     -20.3640 |     -84.4971 |
|       0.0828 |       0.0957 |     -20.3806 |     -84.5077 |
|       0.0829 |       0.0955 |     -20.3971 |     -84.5181 |
|       0.0831 |       0.0953 |     -20.4137 |     -84.5286 |
|       0.0832 |       0.0952 |     -20.4301 |     -84.5390 |
|       0.0834 |       0.0950 |     -20.4466 |     -84.5493 |
|       0.0836 |       0.0948 |     -20.4630 |     -84.5597 |
|       0.0837 |       0.0946 |     -20.4794 |     -84.5699 |
|       0.0839 |       0.0945 |     -20.4957 |     -84.5802 |
|       0.0840 |       0.0943 |     -20.5120 |     -84.5904 |
|       0.0842 |       0.0941 |     -20.5283 |     -84.6005 |
|       0.0844 |       0.0939 |     -20.5446 |     -84.6107 |
|       0.0845 |       0.0937 |     -20.5608 |     -84.6208 |
|       0.0847 |       0.0936 |     -20.5770 |     -84.6308 |
|       0.0848 |       0.0934 |     -20.5932 |     -84.6408 |
|       0.0850 |       0.0932 |     -20.6093 |     -84.6508 |
|       0.0851 |       0.0931 |     -20.6254 |     -84.6607 |
|       0.0853 |       0.0929 |     -20.6415 |     -84.6706 |
|       0.0855 |       0.0927 |     -20.6575 |     -84.6805 |
|       0.0856 |       0.0925 |     -20.6736 |     -84.6903 |
|       0.0858 |       0.0924 |     -20.6896 |     -84.7001 |
|       0.0859 |       0.0922 |     -20.7055 |     -84.7099 |
|       0.0861 |       0.0920 |     -20.7215 |     -84.7196 |
|       0.0863 |       0.0919 |     -20.7374 |     -84.7293 |
|       0.0864 |       0.0917 |     -20.7532 |     -84.7390 |
|       0.0866 |       0.0915 |     -20.7691 |     -84.7486 |
|       0.0867 |       0.0914 |     -20.7849 |     -84.7582 |
|       0.0869 |       0.0912 |     -20.8007 |     -84.7677 |
|       0.0871 |       0.0910 |     -20.8165 |     -84.7772 |
|       0.0872 |       0.0909 |     -20.8322 |     -84.7867 |
|       0.0874 |       0.0907 |     -20.8479 |     -84.7961 |
|       0.0875 |       0.0905 |     -20.8636 |     -84.8055 |
|       0.0877 |       0.0904 |     -20.8792 |     -84.8149 |
|       0.0879 |       0.0902 |     -20.8948 |     -84.8243 |
|       0.0880 |       0.0900 |     -20.9104 |     -84.8336 |
|       0.0882 |       0.0899 |     -20.9260 |     -84.8429 |
|       0.0883 |       0.0897 |     -20.9415 |     -84.8521 |
|       0.0885 |       0.0896 |     -20.9570 |     -84.8613 |
|       0.0886 |       0.0894 |     -20.9725 |     -84.8705 |
|       0.0888 |       0.0892 |     -20.9880 |     -84.8796 |
|       0.0890 |       0.0891 |     -21.0034 |     -84.8887 |
|       0.0891 |       0.0889 |     -21.0188 |     -84.8978 |
|       0.0893 |       0.0888 |     -21.0342 |     -84.9069 |
|       0.0894 |       0.0886 |     -21.0495 |     -84.9159 |
|       0.0896 |       0.0885 |     -21.0649 |     -84.9249 |
|       0.0898 |       0.0883 |     -21.0801 |     -84.9338 |
|       0.0899 |       0.0882 |     -21.0954 |     -84.9427 |
|       0.0901 |       0.0880 |     -21.1107 |     -84.9516 |
|       0.0902 |       0.0878 |     -21.1259 |     -84.9605 |
|       0.0904 |       0.0877 |     -21.1411 |     -84.9693 |
|       0.0906 |       0.0875 |     -21.1562 |     -84.9781 |
|       0.0907 |       0.0874 |     -21.1714 |     -84.9869 |
|       0.0909 |       0.0872 |     -21.1865 |     -84.9956 |
|       0.0910 |       0.0871 |     -21.2015 |     -85.0043 |
|       0.0912 |       0.0869 |     -21.2166 |     -85.0130 |
|       0.0914 |       0.0868 |     -21.2316 |     -85.0216 |
|       0.0915 |       0.0866 |     -21.2466 |     -85.0302 |
|       0.0917 |       0.0865 |     -21.2616 |     -85.0388 |
|       0.0918 |       0.0863 |     -21.2766 |     -85.0474 |
|       0.0920 |       0.0862 |     -21.2915 |     -85.0559 |
|       0.0922 |       0.0860 |     -21.3064 |     -85.0644 |
|       0.0923 |       0.0859 |     -21.3213 |     -85.0729 |
|       0.0925 |       0.0857 |     -21.3361 |     -85.0813 |
|       0.0926 |       0.0856 |     -21.3510 |     -85.0897 |
|       0.0928 |       0.0854 |     -21.3658 |     -85.0981 |
|       0.0929 |       0.0853 |     -21.3805 |     -85.1065 |
|       0.0931 |       0.0852 |     -21.3953 |     -85.1148 |
|       0.0933 |       0.0850 |     -21.4100 |     -85.1231 |
|       0.0934 |       0.0849 |     -21.4247 |     -85.1313 |
|       0.0936 |       0.0847 |     -21.4394 |     -85.1396 |
|       0.0937 |       0.0846 |     -21.4541 |     -85.1478 |
|       0.0939 |       0.0844 |     -21.4687 |     -85.1560 |
|       0.0941 |       0.0843 |     -21.4833 |     -85.1641 |
|       0.0942 |       0.0842 |     -21.4979 |     -85.1723 |
|       0.0944 |       0.0840 |     -21.5124 |     -85.1804 |
|       0.0945 |       0.0839 |     -21.5270 |     -85.1884 |
|       0.0947 |       0.0837 |     -21.5415 |     -85.1965 |
|       0.0949 |       0.0836 |     -21.5559 |     -85.2045 |
|       0.0950 |       0.0835 |     -21.5704 |     -85.2125 |
|       0.0952 |       0.0833 |     -21.5848 |     -85.2205 |
|       0.0953 |       0.0832 |     -21.5992 |     -85.2284 |
|       0.0955 |       0.0830 |     -21.6136 |     -85.2363 |
|       0.0957 |       0.0829 |     -21.6280 |     -85.2442 |
|       0.0958 |       0.0828 |     -21.6423 |     -85.2521 |
|       0.0960 |       0.0826 |     -21.6567 |     -85.2599 |
|       0.0961 |       0.0825 |     -21.6710 |     -85.2677 |
|       0.0963 |       0.0824 |     -21.6852 |     -85.2755 |
|       0.0964 |       0.0822 |     -21.6995 |     -85.2833 |
|       0.0966 |       0.0821 |     -21.7137 |     -85.2910 |
|       0.0968 |       0.0820 |     -21.7279 |     -85.2987 |
|       0.0969 |       0.0818 |     -21.7421 |     -85.3064 |
|       0.0971 |       0.0817 |     -21.7562 |     -85.3141 |
|       0.0972 |       0.0816 |     -21.7704 |     -85.3217 |
|       0.0974 |       0.0814 |     -21.7845 |     -85.3293 |
|       0.0976 |       0.0813 |     -21.7986 |     -85.3369 |
|       0.0977 |       0.0812 |     -21.8126 |     -85.3445 |
|       0.0979 |       0.0810 |     -21.8267 |     -85.3520 |
|       0.0980 |       0.0809 |     -21.8407 |     -85.3595 |
|       0.0982 |       0.0808 |     -21.8547 |     -85.3670 |
|       0.0984 |       0.0806 |     -21.8687 |     -85.3745 |
|       0.0985 |       0.0805 |     -21.8826 |     -85.3819 |
|       0.0987 |       0.0804 |     -21.8965 |     -85.3893 |
|       0.0988 |       0.0803 |     -21.9104 |     -85.3967 |
|       0.0990 |       0.0801 |     -21.9243 |     -85.4041 |
|       0.0992 |       0.0800 |     -21.9382 |     -85.4114 |
|       0.0993 |       0.0799 |     -21.9520 |     -85.4188 |
|       0.0995 |       0.0797 |     -21.9659 |     -85.4261 |
|       0.0996 |       0.0796 |     -21.9797 |     -85.4333 |
|       0.0998 |       0.0795 |     -21.9934 |     -85.4406 |
|       0.0999 |       0.0794 |     -22.0072 |     -85.4478 |
|       0.1001 |       0.0792 |     -22.0209 |     -85.4550 |
|       0.1003 |       0.0791 |     -22.0346 |     -85.4622 |
|       0.1004 |       0.0790 |     -22.0483 |     -85.4694 |
|       0.1006 |       0.0789 |     -22.0620 |     -85.4765 |
|       0.1007 |       0.0787 |     -22.0756 |     -85.4836 |
|       0.1009 |       0.0786 |     -22.0893 |     -85.4907 |
|       0.1011 |       0.0785 |     -22.1029 |     -85.4978 |
|       0.1012 |       0.0784 |     -22.1165 |     -85.5048 |
|       0.1014 |       0.0783 |     -22.1300 |     -85.5119 |
|       0.1015 |       0.0781 |     -22.1436 |     -85.5189 |
|       0.1017 |       0.0780 |     -22.1571 |     -85.5259 |
|       0.1019 |       0.0779 |     -22.1706 |     -85.5328 |
|       0.1020 |       0.0778 |     -22.1841 |     -85.5398 |
|       0.1022 |       0.0776 |     -22.1975 |     -85.5467 |
|       0.1023 |       0.0775 |     -22.2110 |     -85.5536 |
|       0.1025 |       0.0774 |     -22.2244 |     -85.5604 |
|       0.1027 |       0.0773 |     -22.2378 |     -85.5673 |
|       0.1028 |       0.0772 |     -22.2511 |     -85.5741 |
|       0.1030 |       0.0771 |     -22.2645 |     -85.5810 |
|       0.1031 |       0.0769 |     -22.2778 |     -85.5877 |
|       0.1033 |       0.0768 |     -22.2911 |     -85.5945 |
|       0.1035 |       0.0767 |     -22.3044 |     -85.6013 |
|       0.1036 |       0.0766 |     -22.3177 |     -85.6080 |
|       0.1038 |       0.0765 |     -22.3310 |     -85.6147 |
|       0.1039 |       0.0763 |     -22.3442 |     -85.6214 |
|       0.1041 |       0.0762 |     -22.3574 |     -85.6281 |
|       0.1042 |       0.0761 |     -22.3706 |     -85.6347 |
|       0.1044 |       0.0760 |     -22.3838 |     -85.6413 |
|       0.1046 |       0.0759 |     -22.3969 |     -85.6479 |
|       0.1047 |       0.0758 |     -22.4101 |     -85.6545 |
|       0.1049 |       0.0757 |     -22.4232 |     -85.6611 |
|       0.1050 |       0.0755 |     -22.4363 |     -85.6677 |
|       0.1052 |       0.0754 |     -22.4494 |     -85.6742 |
|       0.1054 |       0.0753 |     -22.4624 |     -85.6807 |
|       0.1055 |       0.0752 |     -22.4754 |     -85.6872 |
|       0.1057 |       0.0751 |     -22.4885 |     -85.6937 |
|       0.1058 |       0.0750 |     -22.5015 |     -85.7001 |
|       0.1060 |       0.0749 |     -22.5144 |     -85.7065 |
|       0.1062 |       0.0748 |     -22.5274 |     -85.7130 |
|       0.1063 |       0.0746 |     -22.5403 |     -85.7193 |
|       0.1065 |       0.0745 |     -22.5533 |     -85.7257 |
|       0.1066 |       0.0744 |     -22.5662 |     -85.7321 |
|       0.1068 |       0.0743 |     -22.5790 |     -85.7384 |
|       0.1070 |       0.0742 |     -22.5919 |     -85.7447 |
|       0.1071 |       0.0741 |     -22.6048 |     -85.7510 |
|       0.1073 |       0.0740 |     -22.6176 |     -85.7573 |
|       0.1074 |       0.0739 |     -22.6304 |     -85.7636 |
|       0.1076 |       0.0738 |     -22.6432 |     -85.7698 |
|       0.1077 |       0.0737 |     -22.6559 |     -85.7760 |
|       0.1079 |       0.0735 |     -22.6687 |     -85.7823 |
|       0.1081 |       0.0734 |     -22.6814 |     -85.7884 |
|       0.1082 |       0.0733 |     -22.6941 |     -85.7946 |
|       0.1084 |       0.0732 |     -22.7068 |     -85.8008 |
|       0.1085 |       0.0731 |     -22.7195 |     -85.8069 |
|       0.1087 |       0.0730 |     -22.7322 |     -85.8130 |
|       0.1089 |       0.0729 |     -22.7448 |     -85.8191 |
|       0.1090 |       0.0728 |     -22.7574 |     -85.8252 |
|       0.1092 |       0.0727 |     -22.7700 |     -85.8313 |
|       0.1093 |       0.0726 |     -22.7826 |     -85.8373 |
|       0.1095 |       0.0725 |     -22.7952 |     -85.8433 |
|       0.1097 |       0.0724 |     -22.8077 |     -85.8493 |
|       0.1098 |       0.0723 |     -22.8203 |     -85.8553 |
|       0.1100 |       0.0722 |     -22.8328 |     -85.8613 |
|       0.1101 |       0.0721 |     -22.8453 |     -85.8673 |
|       0.1103 |       0.0720 |     -22.8578 |     -85.8732 |
|       0.1105 |       0.0719 |     -22.8702 |     -85.8792 |
|       0.1106 |       0.0718 |     -22.8827 |     -85.8851 |
|       0.1108 |       0.0717 |     -22.8951 |     -85.8910 |
|       0.1109 |       0.0716 |     -22.9075 |     -85.8968 |
|       0.1111 |       0.0715 |     -22.9199 |     -85.9027 |
|       0.1112 |       0.0713 |     -22.9322 |     -85.9085 |
|       0.1114 |       0.0712 |     -22.9446 |     -85.9144 |
|       0.1116 |       0.0711 |     -22.9569 |     -85.9202 |
|       0.1117 |       0.0710 |     -22.9693 |     -85.9260 |
|       0.1119 |       0.0709 |     -22.9816 |     -85.9317 |
|       0.1120 |       0.0708 |     -22.9938 |     -85.9375 |
|       0.1122 |       0.0707 |     -23.0061 |     -85.9432 |
|       0.1124 |       0.0706 |     -23.0184 |     -85.9490 |
|       0.1125 |       0.0705 |     -23.0306 |     -85.9547 |
|       0.1127 |       0.0704 |     -23.0428 |     -85.9604 |
|       0.1128 |       0.0703 |     -23.0550 |     -85.9660 |
|       0.1130 |       0.0702 |     -23.0672 |     -85.9717 |
|       0.1132 |       0.0702 |     -23.0794 |     -85.9774 |
|       0.1133 |       0.0701 |     -23.0915 |     -85.9830 |
|       0.1135 |       0.0700 |     -23.1036 |     -85.9886 |
|       0.1136 |       0.0699 |     -23.1157 |     -85.9942 |
|       0.1138 |       0.0698 |     -23.1278 |     -85.9998 |
|       0.1140 |       0.0697 |     -23.1399 |     -86.0054 |
|       0.1141 |       0.0696 |     -23.1520 |     -86.0109 |
|       0.1143 |       0.0695 |     -23.1640 |     -86.0164 |
|       0.1144 |       0.0694 |     -23.1761 |     -86.0220 |
|       0.1146 |       0.0693 |     -23.1881 |     -86.0275 |
|       0.1147 |       0.0692 |     -23.2001 |     -86.0330 |
|       0.1149 |       0.0691 |     -23.2121 |     -86.0384 |
|       0.1151 |       0.0690 |     -23.2240 |     -86.0439 |
|       0.1152 |       0.0689 |     -23.2360 |     -86.0494 |
|       0.1154 |       0.0688 |     -23.2479 |     -86.0548 |
|       0.1155 |       0.0687 |     -23.2598 |     -86.0602 |
|       0.1157 |       0.0686 |     -23.2717 |     -86.0656 |
|       0.1159 |       0.0685 |     -23.2836 |     -86.0710 |
|       0.1160 |       0.0684 |     -23.2955 |     -86.0764 |
|       0.1162 |       0.0683 |     -23.3073 |     -86.0817 |
|       0.1163 |       0.0682 |     -23.3192 |     -86.0871 |
|       0.1165 |       0.0681 |     -23.3310 |     -86.0924 |
|       0.1167 |       0.0681 |     -23.3428 |     -86.0977 |
|       0.1168 |       0.0680 |     -23.3546 |     -86.1030 |
|       0.1170 |       0.0679 |     -23.3663 |     -86.1083 |
|       0.1171 |       0.0678 |     -23.3781 |     -86.1136 |
|       0.1173 |       0.0677 |     -23.3898 |     -86.1188 |
|       0.1175 |       0.0676 |     -23.4016 |     -86.1241 |
|       0.1176 |       0.0675 |     -23.4133 |     -86.1293 |
|       0.1178 |       0.0674 |     -23.4249 |     -86.1345 |
|       0.1179 |       0.0673 |     -23.4366 |     -86.1397 |
|       0.1181 |       0.0672 |     -23.4483 |     -86.1449 |
|       0.1183 |       0.0671 |     -23.4599 |     -86.1501 |
|       0.1184 |       0.0671 |     -23.4716 |     -86.1552 |
|       0.1186 |       0.0670 |     -23.4832 |     -86.1604 |
|       0.1187 |       0.0669 |     -23.4948 |     -86.1655 |
|       0.1189 |       0.0668 |     -23.5064 |     -86.1706 |
|       0.1190 |       0.0667 |     -23.5179 |     -86.1757 |
|       0.1192 |       0.0666 |     -23.5295 |     -86.1808 |
|       0.1194 |       0.0665 |     -23.5410 |     -86.1859 |

|      Time(s) |      Vout(V) |
